Video ID,Title,Channel,Published At,Views,Likes,Comments,Tags,Engagement Score,Cluster
Rx0Z3ZlvzAo,S8UL Secret Santa: The Hidden Gifts🎄,S8UL,2024-12-25 16:39:05+00:00,544527,63627,1647,"['s8ul', '8bit', 'soul', 'mortal', 'thug', 'goldy', 'S8UL', 'Secret Santa', 'S8UL Secret Santa', 'Secret Santa Challenge', 'S8UL Creators', 'Holiday Challenge', 'Gift Exchange', 'Secret Santa Twist', 'Funny Gift Exchange', 'Christmas Challenge', 'S8UL Family', 'Epic Secret Santa', 'Holiday Fun', 'Joker S8UL', 'Secret Santa Gifts', 'Christmas 2024', 'S8UL Christmas Challenge', 'Crazy Gift Exchange', 'S8UL Video Ideas', 'Holiday Surprise']",1345497,1
a1sdcVFj7po,Parineetii UPDATE: Niti Fails to Stop Sanju’s Marriage with Pari; Mom’s Drama Erupts!,TellyTalkIndia,2024-12-26 08:56:00+00:00,334409,4284,99,"['parineeti', 'parineetii latest update', 'parineetii today episode', 'tanvi dogra', 'anchal sahu', 'ankur verma', 'parineet rajeev romance', 'parineetii all episodes', 'parineet wedding', 'rajeev neeti scenes', 'tanvi dogra latest', 'anchal sahu latest', 'ankur verma latest', 'parineetii spoilers', 'parineetii future story', 'telly talk', 'entertainment', 'serial gossips', 'serial update', 'neeti sanju', 'neeti first night', 'sanju', 'pari sanju mehendi ceremony', 'pari', 'pari neeti', 'pari aur sanju ka romance', 'tv news']",387149,1
H274LscsVgA,Finding iPhone in Trash - कूड़े में मिली कीमती चीज़ें🔥,The Experiment TV,2024-12-26 13:29:56+00:00,418248,29543,965,"['the experiment tv', 'finding iPhone in trash', 'iPhone', 'smartphone in trash', 'can you find iPhone in trash', 'the experiment tv new video', 'challenge']",810178,1
5HdcnOLiyis,Trying Egg + Liquid Nitrogen - क्या एक अंडा ईंट को तोड़ सकता है ?...Egg Vs Brick | Day 3,MR. INDIAN HACKER Vlogs,2024-12-25 10:20:29+00:00,580279,39746,2257,"['mr indian hacker', 'hacker new video', 'egg vs brick', 'hacker ki new video', 'indian ki video', 'vlogs', 'indian hacker vlogs', 'क्या एक अंडा ईंट को तोड़ सकता है ?...Egg Vs Brick', 'mr indian hacker vlogs', 'new vlog', 'today vlog', 'new video', 'egg vs brick vlog', 'day 2', 'day 3']",1203439,1
9gETtkEvyHk,EXCLUSIVE: Kichcha Sudeep’s MAXclusive Interview With Anushree | Sandalwood | Anushree Anchor,Anushree Anchor,2024-12-23 12:39:06+00:00,1155535,64580,2089,"['Kiccha Sudeep', 'MAX Interview', 'Kiccha Sudeep Interview', 'Anushree Channel', 'Sudeep Interview With Anushree', 'Anushree interview with sudeep', 'Max reviews', 'Max audience review', 'Max Kairam Vashi review', 'Max Box office collection', 'Sudeep max review', 'Max trailer', 'Max sudeep trailer', 'Max Sudeep Trailer review', 'Anushree anchor', 'Anchor anushree', 'anushree anchor', 'anushree anchor channel', 'anushree anchor interview', 'anushree anchor youtube', 'kannada movie', 'anushree interview', 'movies']",2010235,1
uKJBSPFz0QE,പ്രതീക്ഷയുടെ ഭാരം'സ് ഇല്ലാതെ | Barroz 3D - Guardian of Treasures Review | Unni Vlogs Cinephile,Unni Vlogs Cinephile,2024-12-25 09:18:36+00:00,229826,3879,599,"['unni vlogs', 'unnivlogs', 'unnivlog', 'unni vlogs cinephile', 'unni vlogs review', 'unni vlogs worth watch', 'malayalam review', 'barroz review', 'barroz', 'barroz review malayalam', 'barroz theatre response', 'barroz movie review', 'barroz song', 'barroz review unni vlogs', 'barroz unni vlogs', 'barroz mohanlal', 'mohanlal unni vlogs', 'mohanlal barroz', 'barroz 3d review', 'barroz 3d movie review', 'barroz malayalam review', 'barroz malayalam theatre response', 'barroz malayalam movie', 'unni vlogs bad boys review']",328516,1
BkIY6tWnRNE,Bigg Boss Tamil Season 8 | 26th December 2024 - Promo 2,Vijay Television,2024-12-26 06:30:06+00:00,1510872,45066,1916,"['biggboss', 'tamil', 'vijay television', 'starvijay', 'VijaySethupathi', 'தமிழ்', 'விஜய் டிவி', 'தொலைக்காட்சி', 'Tamil TV', 'Tamil Shows', 'Redefining Entertainment', 'Star', 'Star Vijay TV', 'Vijay TV', 'hotstar', 'Kamal Haasan', 'Bigg Boss', 'Bigg Boss Tamil 8', 'பிக்பாஸ்', 'பிக்பாஸ் 8', 'Bigg Boss Season 8', 'Teaser', 'VJStheBBhost']",2153132,1
eDR7ZJiWavw,Bhide ने डाला Dr. Hathi पे बाल्टी भर पानी | Taarak Mehta Ka Ooltah Chashmah | New Year Countdown,Sony PAL,2024-12-24 12:30:39+00:00,465577,3172,115,"['तारक मेहता', 'Ooltah Chashmah', 'taarak mehta latest episodes', 'taarak mehta ka ooltah chashmah', 'hindi comedy show', 'taarak new episode', 'ulta chashma', 'tarak mehta ka ultah chashma', 'taarak mehta episode', 'TMKOC latest episode', 'taark mehta new episodes', 'TMKOC new taarak mehta', 'dilip joshi', 'dilip joshi jethalal', 'TMKOC funny episodes', 'hindi comedy', 'તારક મહેતા કા ઉલ્ટા ચશ્મા', 'Bhide comedy', 'old episode tmkoc', 'funnyvideos 2024', 'TMKOC comedy pal', 'TMKOC', 'palshow', 'New Year Countdown 2025']",508797,1
LDRdSdMzd3s,Chinni Lyric Video | Daaku Maharaaj | Nandamuri Balakrishna | Anantha Sriram | Bobby Kolli |Thaman S,Aditya Music,2024-12-23 13:59:02+00:00,2242237,72113,3205,"['Chinni', 'Chinni Song', 'Chinni Lyrical Video', 'Chinni Song Daaku Maharaaj', 'Daaku Maharaaj', 'Daaku Maharaaj Movie', 'Daaku Maharaaj Songs', 'Daaku Maharaaj Trailer', 'Nandamuri Balakrishna', 'Balakrishna New Movie', 'Balakrishna Songs', 'Balakrishna', 'Jai Balayya', 'Bobby Deol', 'Pragya Jaiswal', 'Shraddha Srinath', 'Bobby Kolli Movies', 'Bobby Kolli', 'Thaman Songs', 'Vishal Mishra Songs', 'Thaman s', 'Telugu Songs', 'Latest Telugu Songs', 'Telugu Songs New', 'Telugu Songs 2024', 'Telugu Melody Songs', 'Songs Telugu']",3283867,1
j47hzU8YuAY,NEW! Taarak Mehta Ka Ooltah Chashmah | Ep 4278 | 26 Dec 2024 | Teaser,Sony SAB,2024-12-26 15:30:27+00:00,1922853,37996,835,"['Nitish Bhaluni', 'तारक मेहता', 'Ooltah Chashmah', 'sab tv channel', 'taarak mehta latest episodes', 'taarak mehta ka ooltah chashmah', 'hindi comedy show', 'sab tv funny show', 'taarak new episode', 'ulta chashma', 'tarak mehta ka ultah chashma', 'taarak mehta episode', 'tmkoc todays episode', 'taark mehta new episodes', 'tmkoc teaser today', 'tmkoc new taarak mehta', 'dilip joshi', 'dilip joshi jethalal', 'tmkoc funny episode', 'tmkoc', 'tmkoc episode 4278', 'taarak mehta ka ooltah chashma teaser episode 4278']",2386313,1
85kRPMf1Lac,স্বামীক হেৰুৱাৰ পিছতেই গুৱাহাটীলৈ আহিছিল মৌচুমী।,DY365,2024-12-26 12:05:48+00:00,136739,1155,129,"['assamese news live', 'assamese news channel', 'assamese news pratidin time', 'assamese news nrc', 'assamese news paper', 'assamese news video', 'assamese news dy365', 'assamese news all channel', 'assameseweekendvlog', 'pathsala rakh dimpu video', 'dimpus vlog gangtok', 'dimpus vlog chennai', 'technical guruji unboxing', 'technical guruji giveaway', 'assamese vlog video', 'meenakshi gogoi goa vlog', 'meenakshi gogoi blog', 'assamese news nrc', 'assamese news new']",161189,1
i2tKJF4p8Hg,"छोड़ो गाजर का हलवां - अब ये बनाके देखो, सर्दी में कटोरीयां चाट-चाट के खायेंगे और नही बनाई तो पछताओगे",bharatzkitchen HINDI,2024-12-25 09:25:35+00:00,328328,4401,219,"['gajar ki kheer recipe', 'how to make gajar ki kheer in hindi', 'how to make gajar ki kheer in urdu']",394238,1
jZnnpXkRZns,New Ghar Ki Shopping 😍,Sourav Joshi Vlogs,2024-12-26 02:30:22+00:00,4052315,211289,5150,"['sourav joshi', 'sourav joshi vlogs', 'family vlogs', 'daily vlogs', 'piyush joshi', 'piyush joshi vlogs', 'sourav joshi arts', 'vlogs', 'family vlog', 'KUNALI', 'KUNALI JOSHI', 'KUNALI JOSHI VLOGS', 'kunali', 'kunali vlogs', 'kunali vlog', 'kunali k toys', 'thailand vlog', 'thailand pohoch gye']",6680205,1
Kv-UbXg8ICo,இது நான் ஒத்துக்க மாட்டேன்..! | Themmangu Paattukaaran Movie Scene | Ramarajan | Aamani | JSK,JSK Prime Media,2024-12-25 14:30:09+00:00,79282,327,7,"['JSK Audio', 'JSK', 'JSK Prime Media', 'JSK Film Corporation', 'full tamil movie', 'tamil full movies', 'tamil cinema', 'tamil comedy movies', 'old tamil', 'tamil old movie', 'old tamil movie online', 'super old tamil film', 'hit old tamil film', 'Themmangu Paattukaaran movie', 'Themmangu Paattukaaran movie comedy', 'Themmangu Paattukaaran movie songs', 'Themmangu Paattukaaran movie video songs', 'Themmangu Paattukaaran full movie', 'Themmangu Paattukaaran', 'Themmangu Paattukaaranmovie scenes']",83252,1
DFrGzGXHgq8,A Boy Made Me Shy and Then THIS Happened.. Birthday ✈️Vlog 1,Pragati Verma Shorts,2024-12-25 05:56:21+00:00,641165,13569,3289,"['Pragati Verma', 'Pragati Verma shorts', 'Pragati verma new vlog', 'Pragati verma birthday', 'Pragati verma birthday party', 'Prakriti berma', 'New challenge', 'Doraemon challenge', 'Shinchan challenge', 'Dalgona canfy', 'Pancake', 'Pancake video', 'Superpower video', 'New video', 'New vlog today', 'Pragti', 'Verma', 'Girl new vlog', 'Blog', 'Blogs', 'New vlog']",1105755,1
mIQlPDkEMr0,మాకు పుట్టింది Baby Boy Or Baby Girl ఎవరు ?,StellaRaj 777,2024-12-25 14:00:45+00:00,586209,11757,820,"['Yadamma Raju', 'Stella raj', 'ఎవరు పుట్టారు', 'Baby boys', 'Baby girl', 'My pregnancy kid', 'My kid', 'Boy or girl', 'Stella delivery kid revel', 'My baby revel', 'Delivery details', 'Emotional', 'Love', 'My wife happy', 'Happens', 'Funny', 'Comedy', 'Husband wife happens', 'Love on baby', 'My baby']",785779,1
yPLqfzxoIjY,Mahanadhi | 25th to 27th December 2024 - Promo,Vijay Television,2024-12-25 04:30:25+00:00,2387599,48190,936,"['Mahanadhi', 'Star', 'Star Vijay TV', 'Vijay TV', 'Vijay', 'தமிழ்', 'விஜய்', 'டிவி', 'தொலைக்காட்சி', 'Tamil TV', 'Tamil Shows']",2963099,1
jgUtOlged-c,Max - Official Trailer | Kichcha Sudeep | B Ajaneesh Loknath | Vijay Kartikeyaa,Saregama Kannada,2024-12-22 16:04:16+00:00,3868908,259230,7575,"['Max', 'Max trailer', 'Max movie trailer', 'Max Kannada trailer', 'Max movie', 'Max movies', 'Max Kannada movie', 'Kichcha Sudeep', 'Sudeep movies', 'Sudeep Kannada movie', 'B Ajaneesh Loknath', 'Ajaneesh Loknath movies', 'Kichcha Sudeep Max', 'Max hero Kichcha Sudeep', 'trending Kannada movies', 'Kannada trending hits', 'Max Kannada movies', 'Ajaneesh Loknath Kannada', 'Sandalwood movies', 'latest Kannada movies', 'Sudeep new movie', 'Kannada trending movies', 'Max movie songs', 'B Ajaneesh Max.']",7218708,1
9vOi2ommxe8,Don't Sleep At 3AM on Christmas | Evil Santa 😰,Tyro Gaming,2024-12-24 13:10:51+00:00,529166,10611,647,"[""Don't Sleep At 3 AM | Evil Santa Claus 😰"", 'harshtatsuya', 'Funny Game', 'junkeyy', 'epic depic', 'Shivang mini', 'Shinchan game', 'Doraemon Game', 'Nobita Game', 'Shinchan in hindi', 'Green Gaming', 'Gaming with Demon', 'Shinchan Gaming', 'Frostbite Gaming', 'Epic Playz', 'VeryNuclear', 'Rock Indian Gamer', 'Amaan-T', 'Flight Gamer', 'Hindustani gamer Loggy', 'Proboiz', 'Tyro Gaming', 'Proboii', 'Taro gaming', 'funny Game Gta 5', 'Santa Claus', 'Gta 5 Christmas', 'Christmas Special Video', 'Santa Claus Christmas', 'evil Santa']",699976,1
L_GNTZZt3tM,"Garena Free Fire RIP 2,50,000 Diamonds For Number .0007",LOKESH GAMER,2024-12-24 12:27:39+00:00,754509,75912,3480,Unknown,1861629,1
krWSxxxo3L0,NEW! Taarak Mehta Ka Ooltah Chashmah | Ep 4277 | 25 Dec 2024 | Teaser,Sony SAB,2024-12-25 15:30:23+00:00,2792920,44590,977,"['Nitish Bhaluni', 'तारक मेहता', 'Ooltah Chashmah', 'sab tv channel', 'taarak mehta latest episodes', 'taarak mehta ka ooltah chashmah', 'hindi comedy show', 'sab tv funny show', 'taarak new episode', 'ulta chashma', 'tarak mehta ka ultah chashma', 'taarak mehta episode', 'tmkoc todays episode', 'taark mehta new episodes', 'tmkoc teaser today', 'tmkoc new taarak mehta', 'dilip joshi', 'dilip joshi jethalal', 'tmkoc funny episode', 'tmkoc', 'tmkoc episode 4277', 'taarak mehta ka ooltah chashma teaser episode 4277']",3336520,1
54E9PUXtrF4,SHINCHAN AND FRANKLIN GOT AMAZING CHRISTMAS GIFTS FROM SANTA CLAUS IN GTA 5,Yippi Gaming,2024-12-25 04:15:01+00:00,179734,3887,74,"['GTA 5', 'GTA V', 'GTA 5 GAMEPLAY HINDI', 'GTA 5 ROBBERY', 'gta 5 hindi gameplay', 'gta 5', 'gta 5 shinchan', 'gta 5 frostbite', 'shichan and franklin gta 5 space parkour', 'shin chan cartoon gta 5', 'gta 5 shin chan', 'shin chan gta 5 gameplay', 'shin chan franklin parkour challenge', 'parkour challenge gta 5', 'yippi gaming', 'yippi', 'yippie', 'yippi new video', 'yippi gaming new video', 'yippi games', 'Yippi gaming Christmas', 'yippi gaming santa', 'yippi gaming santa christmas', 'yippi santa']",226004,1
fTY09vO6HCw,Anaganaga Oka Raju - Pre Wedding Teaser Promo | Naveen Polishetty | S Naga Vamsi,Sithara Entertainments,2024-12-25 05:43:36+00:00,451917,13282,171,['Sithara Entertainments'],601837,1
0ZD-EpBgJv0,1 Rupee for Every 1 Calorie You Eat,Arjun MP Shorts,2024-12-24 07:30:00+00:00,339547,17092,625,"['Giving money malayalam', 'helping people', 'making people happy']",572967,1
_qC4mq13crc,Fateh | Official Trailer l Sonu Sood | Jacqueline Fernandez | In Cinemas 10th January,Zee Studios,2024-12-23 09:58:06+00:00,23291668,144430,7180,"['Zee Studios', 'Bollywood Cinema', 'Hindi Cinema', 'Bollywood movie', 'Latest bollywood movie', 'upcoming bollywood movie', 'Promo', 'Trailer', 'Teaser', 'zee', 'entertainment', 'popular', 'famous', 'superhit', 'Blockbuster movie']",25453968,0
BIzd5cMnP6w,Chandni-Ragini : The bold sisters! | Ep.160 | Latest | Dil Ko Tumse Pyaar Hua | Mon-Sun | 7PM,StarPlus,2024-12-25 05:45:00+00:00,1366225,17040,178,"['dil', 'tumse', 'pyaar', 'love', 'dilkotumsepyaarhua', 'romance', 'deepika', 'dr.chirag', 'beauty', 'charming', 'exclusive', 'bestmoments', 'best scenes', 'todays episode', 'tonight', 'drama', 'dil ko tumse pyaar hua star plus', 'dil ko tumse pyaar hua full episode', 'dil ko tumse pyaar hua promo', 'dil ko tumse pyaar hua cast', 'dil ko tumse pyaar hua story', 'dil ko tumse pyaar hua upcoming twist', 'dil ko tumse pyaar hua plot', 'dktph romance', 'serial', 'show', 'entertainment', 'latest', 'family drama', 'trp', 'youtube trending', 'precap', 'recap', 'kal dekhiye']",1554425,1
